,City_state,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,City,rest2
0,"Adelanto city, California",31765,31760,31661,31864,31088,31206,32522,32961,33249,33952,34070,34049,Adelanto,", California"
1,"Agoura Hills city, California",20330,20336,20338,20475,20544,20591,20648,20740,20665,20572,20411,20222,Agoura Hills,", California"
2,"Alameda city, California",73812,73812,73946,74692,75637,76479,77509,78459,79091,79037,78344,77624,Alameda,", California"
3,"Albany city, California",18539,18515,18539,18720,18957,19187,19434,19662,19713,20076,19885,19696,Albany,", California"
4,"Alhambra city, California",83089,83119,83160,83594,84120,84337,84786,84843,85221,84878,84373,83750,Alhambra,", California"
5,"Aliso Viejo city, California",47823,47674,47801,48474,49038,49538,49542,49499,50858,50982,51206,50887,Aliso Viejo,", California"
6,"Alturas city, California",2827,2827,2832,2772,2719,2652,2636,2626,2589,2551,2523,2563,Alturas,", California"
7,"Amador City city, California",185,182,182,182,181,180,182,186,188,189,190,190,Amador City,", California"
8,"American Canyon city, California",19454,19560,19633,19839,20011,20224,20285,20317,20268,20055,20211,20475,American Canyon,", California"
9,"Anaheim city, California",336265,336109,336760,339831,342071,343832,344604,348251,350013,350476,350698,350365,Anaheim,", California"
10,"Anderson city, California",9932,9968,9976,10024,10061,10123,10188,10179,10193,10369,10486,10630,Anderson,", California"
11,"Angels city, California",3836,3812,3801,3774,3744,3731,3735,3755,3849,3881,3911,3956,Angels,", California"
12,"Antioch city, California",102372,102745,103080,104193,105565,107351,109071,110308,111088,111494,111578,111502,Antioch,", California"
13,"Apple Valley city, California",69135,69146,69307,70025,70381,70706,71141,71747,72262,72871,73349,73453,Apple Valley,", California"
14,"Arcadia city, California",56364,56303,56322,56594,56801,57215,57513,57835,58238,58374,58385,57939,Arcadia,", California"
15,"Arcata city, California",17231,17410,17681,17912,17875,17860,17869,17945,18100,18148,18246,18431,Arcata,", California"
16,"Arroyo Grande city, California",17252,17275,17292,17355,17522,17696,17859,18027,18051,18057,18037,17976,Arroyo Grande,", California"
17,"Artesia city, California",16522,16522,16519,16575,16630,16679,16755,16835,16826,16808,16702,16601,Artesia,", California"
18,"Arvin city, California",19304,19304,19345,19676,20058,20260,20498,20741,20997,21124,21446,21851,Arvin,", California"
19,"Atascadero city, California",28310,28306,28418,28585,28725,29000,29329,29910,30173,30316,30257,30075,Atascadero,", California"
20,"Atherton city, California",6914,6919,6915,6950,7023,7087,7127,7163,7234,7215,7178,7137,Atherton,", California"
21,"Atwater city, California",28168,28215,28286,28527,28622,28712,28861,29048,29196,29270,29415,29559,Atwater,", California"
22,"Auburn city, California",13330,13312,13345,13523,13611,13818,13878,13868,13919,13971,14078,14195,Auburn,", California"
23,"Avalon city, California",3728,3728,3728,3742,3754,3761,3768,3769,3758,3743,3712,3681,Avalon,", California"
24,"Avenal city, California",15505,15504,15278,15095,14858,14133,13257,13236,12434,12407,13218,13496,Avenal,", California"
25,"Azusa city, California",46361,46574,46534,46722,47360,47889,48561,49502,49683,49799,49811,49974,Azusa,", California"
26,"Bakersfield city, California",347483,347817,348987,353221,357312,362834,366954,371348,374699,377940,381714,384145,Bakersfield,", California"
27,"Baldwin Park city, California",75390,75397,75421,75750,76183,76364,76375,76427,76219,75948,75572,75251,Baldwin Park,", California"
28,"Banning city, California",29603,29592,29723,29993,30219,30429,30612,30761,30963,31160,31235,31221,Banning,", California"
29,"Barstow city, California",22639,22750,22812,23020,23118,23301,23484,23689,23894,23981,23944,23915,Barstow,", California"
30,"Beaumont city, California",36877,36867,37261,38514,39286,40337,41994,43479,45156,46848,49126,51063,Beaumont,", California"
31,"Bell city, California",35477,35469,35481,35640,35758,35847,35874,35892,35756,35596,35612,35521,Bell,", California"
32,"Bellflower city, California",76616,76625,76624,76939,77202,77404,77532,77794,77581,77326,76906,76435,Bellflower,", California"
33,"Bell Gardens city, California",42072,42053,42056,42211,42628,42706,42714,42743,42675,42489,42192,42012,Bell Gardens,", California"
34,"Belmont city, California",25835,25833,25870,26173,26509,26770,27013,27204,27177,27057,27075,26941,Belmont,", California"
35,"Belvedere city, California",2068,2071,2073,2091,2106,2121,2134,2128,2123,2116,2109,2104,Belvedere,", California"
36,"Benicia city, California",26997,27035,27063,27190,27380,27578,27827,28029,28126,28255,28282,28240,Benicia,", California"
37,"Berkeley city, California",112580,112513,112889,113968,115309,116944,118697,120749,121547,122164,121663,121363,Berkeley,", California"
38,"Beverly Hills city, California",34109,33921,33937,34077,34254,34308,34363,34386,34402,34242,34051,33792,Beverly Hills,", California"
39,"Big Bear Lake city, California",5019,5037,5047,5089,5112,5127,5159,5201,5232,5264,5271,5279,Big Bear Lake,", California"
40,"Biggs city, California",1707,1705,1703,1693,1692,1689,1692,1690,1695,1706,1716,1879,Biggs,", California"
41,"Bishop city, California",3879,3879,3872,3847,3837,3832,3815,3772,3728,3722,3728,3747,Bishop,", California"
42,"Blue Lake city, California",1253,1253,1253,1246,1241,1238,1238,1248,1266,1263,1258,1245,Blue Lake,", California"
43,"Blythe city, California",20817,20877,20569,20294,20659,19868,19268,19202,19786,19705,19964,19682,Blythe,", California"
44,"Bradbury city, California",1048,1047,1047,1056,1062,1073,1073,1079,1075,1085,1079,1070,Bradbury,", California"
45,"Brawley city, California",24953,24976,25038,25226,25473,25519,25660,25728,26050,26217,26172,26227,Brawley,", California"
46,"Brea city, California",39282,39195,39422,39828,40139,40906,41265,41693,42392,42574,43484,43255,Brea,", California"
47,"Brentwood city, California",51481,51627,51813,52716,53508,54916,56854,58796,60571,62265,63760,64474,Brentwood,", California"
48,"Brisbane city, California",4282,4282,4290,4345,4402,4453,4602,4712,4711,4702,4683,4671,Brisbane,", California"
49,"Buellton city, California",4828,4849,4855,4877,4921,4978,5036,5069,5097,5094,5090,5102,Buellton,", California"
50,"Buena Park city, California",80530,80619,80792,81553,82045,82717,82621,82770,82988,82619,82187,81788,Buena Park,", California"
51,"Burbank city, California",103340,103357,103351,103732,104077,104355,104405,104472,104097,104174,103349,102511,Burbank,", California"
52,"Burlingame city, California",28806,28806,28838,29261,29640,29928,30258,30458,30439,30588,30434,30889,Burlingame,", California"
53,"Calabasas city, California",23058,23462,23464,23742,23825,24041,24058,24102,24068,24047,23867,23853,Calabasas,", California"
54,"Calexico city, California",38572,38573,38661,38927,39147,39298,39550,39767,40028,40083,40072,39825,Calexico,", California"
55,"California City city, California",14120,14120,13467,12834,13344,13202,13203,13202,13656,13884,14167,14198,California City,", California"
56,"Calimesa city, California",7879,7882,7918,7997,8092,8201,8380,8493,8621,8807,8944,9160,Calimesa,", California"
57,"Calipatria city, California",7705,7694,7689,7684,7986,7083,7491,7391,7505,7539,7418,7114,Calipatria,", California"
58,"Calistoga city, California",5155,5168,5174,5204,5224,5256,5274,5285,5285,5241,5300,5247,Calistoga,", California"
59,"Camarillo city, California",65201,65156,65257,65515,65656,65882,66517,67171,67141,67403,68883,69888,Camarillo,", California"
60,"Campbell city, California",39349,40580,40669,41027,41519,41891,42256,42262,42303,42567,42243,41793,Campbell,", California"
61,"Canyon Lake city, California",10561,10553,10599,10699,10783,10861,10945,11007,11095,11188,11251,11280,Canyon Lake,", California"
62,"Capitola city, California",9918,9917,9925,9968,10010,10066,10114,10166,10178,10152,10073,10010,Capitola,", California"
63,"Carlsbad city, California",105328,105328,105674,107460,108948,110665,111609,112662,113265,114477,115518,115382,Carlsbad,", California"
64,"Carmel-by-the-Sea city, California",3722,3678,3687,3716,3749,3780,3804,3821,3836,3822,3815,3811,Carmel-by-the-Sea,", California"
65,"Carpinteria city, California",13040,13003,13013,13021,13144,13460,13565,13605,13598,13540,13436,13385,Carpinteria,", California"
66,"Carson city, California",91714,91711,91599,91690,92162,92535,92684,92752,92572,92193,91626,91394,Carson,", California"
67,"Cathedral City city, California",51200,51230,51452,52077,52478,52846,53187,53516,53943,54413,54793,55007,Cathedral City,", California"
68,"Ceres city, California",45417,45843,45901,46057,46263,46482,46918,47431,47985,48340,48540,48706,Ceres,", California"
69,"Cerritos city, California",49041,49043,49042,49223,49384,49507,49532,49546,50346,50697,50288,49859,Cerritos,", California"
70,"Chico city, California",86187,86798,86783,87269,87915,88362,89491,90369,91564,93066,94342,103301,Chico,", California"
71,"Chino city, California",77983,78069,78644,79591,79949,80799,84296,85169,87468,89601,91356,94371,Chino,", California"
72,"Chino Hills city, California",74799,74792,74963,75639,76042,76285,76509,77826,78452,80115,83239,83853,Chino Hills,", California"
73,"Chowchilla city, California",18720,18785,18718,18892,18049,17357,18843,18391,18179,18457,18709,18310,Chowchilla,", California"
74,"Chula Vista city, California",243916,243923,244648,248318,252379,256691,259885,264206,266238,269046,270819,274492,Chula Vista,", California"
75,"Citrus Heights city, California",83301,83184,83273,83781,84308,84924,85665,86543,87179,87675,87707,87796,Citrus Heights,", California"
76,"Claremont city, California",34926,34878,34899,35190,35281,35650,35715,35962,35889,35835,36370,36266,Claremont,", California"
77,"Clayton city, California",10897,10918,10958,11148,11271,11481,11667,11840,12008,12127,12196,12265,Clayton,", California"
78,"Clearlake city, California",15250,15250,15267,15139,15067,15015,15052,15101,15526,15532,15355,15267,Clearlake,", California"
79,"Cloverdale city, California",8618,8614,8621,8650,8665,8716,8754,8774,8781,8741,8844,8656,Cloverdale,", California"
80,"Clovis city, California",95631,95980,96386,97557,98588,99631,101904,103828,106353,109316,111824,114584,Clovis,", California"
81,"Coachella city, California",40704,40708,40984,41878,42571,42960,43885,44344,44785,45280,45751,45743,Coachella,", California"
82,"Coalinga city, California",13380,18342,18330,18303,17055,16974,16647,16755,16827,16988,16774,17179,Coalinga,", California"
83,"Colfax city, California",1963,1950,1957,1975,1987,1996,2000,1994,1997,1999,1996,2002,Colfax,", California"
84,"Colma city, California",1792,1433,1435,1451,1470,1484,1497,1505,1500,1493,1492,1489,Colma,", California"
85,"Colton city, California",52154,52148,52261,52712,52945,53105,53706,54291,54507,54680,54637,54824,Colton,", California"
86,"Colusa city, California",5971,6222,6229,6190,6190,6171,6126,6105,6156,6146,6094,6060,Colusa,", California"
87,"Commerce city, California",12823,12840,12840,12887,12929,12960,12964,12963,12922,12862,12762,12661,Commerce,", California"
88,"Compton city, California",96455,96404,96442,96933,97350,97600,97634,97639,97281,97047,96348,95605,Compton,", California"
89,"Concord city, California",122067,122169,122505,123518,124678,125888,127128,128303,129036,129592,129743,129295,Concord,", California"
90,"Corcoran city, California",24813,24823,24467,24133,23694,23350,22834,22516,22716,21820,21720,21960,Corcoran,", California"
91,"Corning city, California",7663,7663,7676,7643,7612,7550,7516,7531,7546,7582,7564,7710,Corning,", California"
92,"Corona city, California",152374,152315,153052,154693,157405,158763,160419,163154,166067,167310,168476,169868,Corona,", California"
93,"Coronado city, California",18912,24701,23961,23336,23194,23347,23549,23682,25084,24323,21336,23731,Coronado,", California"
94,"Corte Madera city, California",9253,9265,9273,9350,9386,9469,9908,9899,9864,9820,9803,9751,Corte Madera,", California"
95,"Costa Mesa city, California",109960,110078,110221,111151,111790,112244,112485,112808,112933,113665,113302,113003,Costa Mesa,", California"
96,"Cotati city, California",7265,7265,7273,7303,7320,7375,7411,7427,7443,7451,7584,7410,Cotati,", California"
97,"Covina city, California",47796,47786,47785,47963,48211,48350,48538,48569,48393,48178,47820,47450,Covina,", California"
98,"Crescent City city, California",7643,7640,7596,7517,7393,7169,6780,6767,6644,6386,6805,6787,Crescent City,", California"
99,"Cudahy city, California",23805,23809,23809,23901,23987,24050,24070,24111,24039,23934,23755,23569,Cudahy,", California"
100,"Culver City city, California",38883,38895,38888,39024,39208,39312,39329,39369,39231,39024,39059,39185,Culver City,", California"
101,"Cupertino city, California",58302,58559,58689,59172,59769,60198,60592,60519,60900,60588,60004,59276,Cupertino,", California"
102,"Cypress city, California",47802,47865,47957,48399,48677,48971,48936,48994,48813,48835,48826,49006,Cypress,", California"
103,"Daly City city, California",101123,101116,101262,102460,103915,104980,105887,106538,106882,106733,106869,106280,Daly City,", California"
104,"Dana Point city, California",33351,33290,33336,33634,33830,33962,33927,33968,33931,33768,33629,33577,Dana Point,", California"
105,"Danville city, California",42039,41865,41987,42379,42801,43262,43817,44311,44715,44727,44683,44510,Danville,", California"
106,"Davis city, California",65622,65639,65584,65657,65781,66213,66545,67367,68028,68802,69220,69413,Davis,", California"
107,"Delano city, California",53041,53044,53130,53620,52403,52331,52447,52495,52568,52877,52921,53573,Delano,", California"
108,"Del Mar city, California",4161,4163,4173,4202,4236,4273,4299,4330,4348,4340,4335,4319,Del Mar,", California"
109,"Del Rey Oaks city, California",1624,1624,1628,1640,1655,1664,1670,1674,1679,1672,1662,1654,Del Rey Oaks,", California"
110,"Desert Hot Springs city, California",25938,27054,27172,27422,27628,27817,28008,28145,28397,28648,28815,28878,Desert Hot Springs,", California"
111,"Diamond Bar city, California",55544,55568,55588,55854,56087,56233,56279,56429,56581,56334,56106,55720,Diamond Bar,", California"
112,"Dinuba city, California",21453,21460,21570,22606,22809,23233,23528,23554,23875,23903,24236,24461,Dinuba,", California"
113,"Dixon city, California",18351,18417,18431,18490,18619,18931,19098,19299,19766,20138,20478,20698,Dixon,", California"
114,"Dorris city, California",939,939,941,930,915,902,900,903,902,903,898,897,Dorris,", California"
115,"Dos Palos city, California",4950,4950,4962,5003,5017,5026,5046,5084,5217,5407,5502,5527,Dos Palos,", California"
116,"Downey city, California",111772,111775,111785,112215,112582,112858,113091,113260,112896,112426,111915,111126,Downey,", California"
117,"Duarte city, California",21321,21325,21348,21425,21601,21646,21808,21809,21725,21624,21454,21271,Duarte,", California"
118,"Dublin city, California",46036,46036,45903,46804,48700,52027,54554,57545,59579,60797,63423,64826,Dublin,", California"
119,"Dunsmuir city, California",1650,1640,1640,1619,1595,1572,1567,1571,1571,1572,1568,1564,Dunsmuir,", California"
120,"East Palo Alto city, California",28155,28155,28222,28551,28926,29212,29482,29661,29811,29671,29486,29314,East Palo Alto,", California"
121,"Eastvale city, California",(X),53712,54054,54966,55627,56247,57386,59231,60670,62309,63815,64157,Eastvale,", California"
122,"El Cajon city, California",99478,99584,99823,100795,101537,102303,102789,103230,103527,103468,103041,102708,El Cajon,", California"
123,"El Centro city, California",42598,42588,42678,42977,43023,43316,43496,43655,44028,44114,44089,44079,El Centro,", California"
124,"El Cerrito city, California",23549,23585,23644,23845,24074,24323,24551,24902,25458,25468,25607,25508,El Cerrito,", California"
125,"Elk Grove city, California",153015,152995,153375,155615,158083,160251,162701,165997,169156,171425,172603,174775,Elk Grove,", California"
126,"El Monte city, California",113475,113531,113677,114101,114843,115414,115627,115824,115550,115514,115308,115487,El Monte,", California"
127,"El Paso de Robles (Paso Robles) city, California",29793,29747,29786,30076,30399,30718,31108,31346,31722,31772,32133,32153,El Paso de Robles (Paso Robles),", California"
128,"El Segundo city, California",16654,16656,16656,16719,16796,16855,16900,16891,16835,16752,16663,16610,El Segundo,", California"
129,"Emeryville city, California",10080,10112,10125,10222,10358,10878,11311,11765,11792,11751,12109,12086,Emeryville,", California"
130,"Encinitas city, California",59518,59526,59684,60264,60890,61555,62023,62590,62921,62884,62750,62709,Encinitas,", California"
131,"Escalon city, California",7132,7123,7135,7190,7215,7216,7343,7474,7501,7550,7566,7574,Escalon,", California"
132,"Escondido city, California",143911,143976,144440,146099,147570,148794,149708,150683,151204,151220,151793,151625,Escondido,", California"
133,"Etna city, California",737,737,736,730,724,714,712,711,713,716,717,718,Etna,", California"
134,"Eureka city, California",27191,27196,27201,27161,26931,26895,26874,26902,27153,27126,26968,26710,Eureka,", California"
135,"Exeter city, California",10334,10332,10341,10375,10420,10458,10490,10486,10477,10502,10508,10485,Exeter,", California"
136,"Fairfax city, California",7441,7444,7450,7512,7545,7609,7631,7624,7602,7568,7560,7522,Fairfax,", California"
137,"Fairfield city, California",105321,105467,105598,106245,107497,109137,110727,112365,114456,115817,116678,117133,Fairfield,", California"
138,"Farmersville city, California",10588,10588,10585,10594,10639,10680,10711,10710,10702,10726,10729,10703,Farmersville,", California"
139,"Ferndale city, California",1371,1373,1374,1379,1367,1362,1363,1364,1371,1372,1363,1352,Ferndale,", California"
140,"Fillmore city, California",15002,14987,15013,15076,15117,15226,15324,15444,15557,15703,15742,15870,Fillmore,", California"
141,"Firebaugh city, California",7549,7562,7601,7764,7894,8053,8259,8276,8290,8294,8315,8296,Firebaugh,", California"
142,"Folsom city, California",72203,72147,72110,72542,73042,72782,74950,75935,76999,77798,78842,81328,Folsom,", California"
143,"Fontana city, California",196069,196458,197317,199880,201212,202670,203972,206163,208718,211122,213202,214547,Fontana,", California"
144,"Fort Bragg city, California",7273,7306,7307,7277,7279,7268,7283,7277,7291,7308,7347,7291,Fort Bragg,", California"
145,"Fort Jones city, California",839,710,710,704,694,686,684,683,685,690,689,692,Fort Jones,", California"
146,"Fortuna city, California",11926,12039,12048,12028,11927,11891,11973,12057,12199,12277,12322,12259,Fortuna,", California"
147,"Foster City city, California",30567,30568,30609,30965,32098,32416,32698,33470,34279,34292,34109,33901,Foster City,", California"
148,"Fountain Valley city, California",55313,55360,55470,55950,56318,56601,56671,56643,56423,56051,55663,55357,Fountain Valley,", California"
149,"Fowler city, California",5570,5654,5665,5921,5929,5938,6028,6242,6353,6487,6750,6790,Fowler,", California"
150,"Fremont city, California",214089,214074,214553,217391,221426,224796,228274,231687,233478,234544,237811,241110,Fremont,", California"
151,"Fresno city, California",494665,497172,497769,501429,505414,508880,514100,518203,521426,525373,528814,531576,Fresno,", California"
152,"Fullerton city, California",135161,135233,135291,136386,138103,138637,138840,139982,140454,139744,139273,138632,Fullerton,", California"
153,"Galt city, California",23647,23703,23739,24142,24274,24433,24760,25226,25619,26167,26378,26536,Galt,", California"
154,"Gardena city, California",58829,58829,58835,59114,59368,59788,59843,59946,59873,59871,59540,59329,Gardena,", California"
155,"Garden Grove city, California",170883,170958,171181,172957,173809,174422,174423,174343,174571,173422,172195,171644,Garden Grove,", California"
156,"Gilroy city, California",48821,48879,49006,49700,50718,51893,52538,53259,55369,57549,58588,59032,Gilroy,", California"
157,"Glendale city, California",191719,191692,191720,192656,193859,195318,198232,199197,200118,201804,200688,199303,Glendale,", California"
158,"Glendora city, California",50073,50267,50376,50624,50795,51120,51065,51769,51882,51997,51846,51544,Glendora,", California"
159,"Goleta city, California",29888,30096,30143,30176,30387,30639,30880,30963,30921,31098,30954,30911,Goleta,", California"
160,"Gonzales city, California",8187,8149,8171,8230,8301,8349,8379,8402,8428,8396,8349,8306,Gonzales,", California"
161,"Grand Terrace city, California",12040,12040,12064,12155,12243,12301,12334,12387,12460,12557,12556,12584,Grand Terrace,", California"
